CPU,Cores,Clock,Process,L3 Cache,TDP
Xeon E5-4640 V3,12  / 24,1.9 to 2.6 GHz,22 nm,30MB,105 W
Xeon E5-4648 V3,12  / 24,1.7 to 2.2 GHz,22 nm,30MB,105 W
Xeon E5-4650 V3,12  / 24,2.1 to 2.8 GHz,22 nm,30MB,105 W
Xeon E5-4655 V3,6  / 12,2.9 to 3.2 GHz,22 nm,30MB,135 W
Xeon E5-4660 V3,14  / 28,2.1 to 2.9 GHz,22 nm,35MB,120 W
Xeon E5-4667 V3,16  / 32,2 to 2.9 GHz,22 nm,40MB,135 W
Xeon E5-4669 V3,18  / 36,2.1 to 2.9 GHz,22 nm,45MB,135 W
Xeon E7-4809 v3,8  / 16,2000 MHz,22 nm,20MB,115 W
Xeon E7-4820 v3,10  / 20,1900 MHz,22 nm,25MB,115 W
Xeon E7-4830 v3,12  / 24,2.1 to 2.7 GHz,22 nm,30MB,115 W
Xeon E7-4850 v3,14  / 28,2.2 to 2.8 GHz,22 nm,35MB,115 W
Xeon E7-8860 v3,16  / 32,2.2 to 3.2 GHz,22 nm,40MB,140 W
Xeon E7-8867 v3,16  / 32,2.5 to 3.3 GHz,22 nm,45MB,165 W
Xeon E7-8870 v3,18  / 36,2.1 to 2.9 GHz,22 nm,45MB,140 W
Xeon E7-8880 v3,18  / 36,2.3 to 3.1 GHz,22 nm,45MB,150 W
Xeon E7-8880L v3,18  / 36,2 to 2.8 GHz,22 nm,45MB,115 W
Xeon E7-8890 v3,18  / 36,2.5 to 3.3 GHz,22 nm,45MB,165 W
Xeon E7-8891 v3,10  / 20,2.8 to 3.5 GHz,22 nm,45MB,165 W
Xeon E7-8893 v3,4  / 8,3.2 to 3.5 GHz,22 nm,45MB,140 W
A10 PRO-7800B,4 ,3.5 to 3.9 GHz,28 nm,N/A,65 W
A10 PRO-7850B,4 ,3.7 to 4 GHz,28 nm,N/A,95 W
A10-7700K,4 ,3.4 to 3.8 GHz,28 nm,N/A,95 W
A10-7800,4 ,3.5 to 3.9 GHz,28 nm,N/A,65 W
A10-7850K,4 ,3.7 to 4 GHz,28 nm,N/A,95 W
A4 PRO-7300B,2 ,3.8 to 4 GHz,32 nm,N/A,65 W
A4 PRO-7350B,2 ,3.4 to 3.8 GHz,28 nm,N/A,65 W
A4-4020,2 ,3.2 to 3.4 GHz,32 nm,N/A,65 W
A4-5050,4 ,1550 MHz,28 nm,N/A,15 W
A4-6320B,2 ,3.8 to 4 GHz,32 nm,N/A,65 W
A4-7300,2 ,3.8 to 4 GHz,32 nm,N/A,65 W
A6 PRO-7400B,2 ,3.5 to 3.9 GHz,28 nm,N/A,65 W
A6-6420K,2 ,4 to 4.2 GHz,32 nm,N/A,65 W
A6-7400K,2 ,3.5 to 3.9 GHz,28 nm,N/A,65 W
A8 PRO-7600B,4 ,3.1 to 3.8 GHz,28 nm,N/A,65 W
A8-7600,4 ,3.1 to 3.8 GHz,28 nm,N/A,65 W
Athlon 5150,4 ,1600 MHz,28 nm,N/A,25 W
Athlon 5350,4 ,2.05 GHz,28 nm,N/A,25 W
Athlon 5370,4 ,2.2 GHz,28 nm,N/A,25 W
Athlon X2 450,2 ,3.5 to 3.9 GHz,28 nm,N/A,65 W
Athlon X4 840,4 ,3.1 to 3.8 GHz,28 nm,N/A,65 W
Athlon X4 860K,4 ,3.7 to 4 GHz,28 nm,N/A,95 W
E1-2150,2 ,1050 MHz,28 nm,N/A,9 W
FX-770K,4 ,3.5 to 3.9 GHz,28 nm,N/A,65 W
FX-8320E,8 ,3.2 to 4 GHz,32 nm,8MB,95 W
FX-8370,8 ,4 to 4.3 GHz,32 nm,8MB,125 W
FX-8370E,8 ,3.3 to 4.3 GHz,32 nm,8MB,95 W
Sempron 2650,2 ,1450 MHz,28 nm,N/A,25 W
Sempron 3850,4 ,1300 MHz,28 nm,N/A,25 W
A10-7860K,4 ,3.6 to 4 GHz,28 nm,N/A,65 W
A10-7890K,4 ,4 to 4.3 GHz,28 nm,N/A,95 W
A6-7470K,2 ,3.7 to 4 GHz,28 nm,N/A,65 W
A6-9500,2 ,3.5 to 3.8 GHz,28 nm,N/A,65 W
A6-9500E,2 ,3 to 3.4 GHz,28 nm,N/A,35 W
A9-9400 SoC,2 ,2.4 to 3.2 GHz,28 nm,N/A,10 W
A9-9410 SoC,2 ,2.9 to 3.5 GHz,28 nm,N/A,25 W
A9-9420 SoC,2 ,3 to 3.6 GHz,28 nm,N/A,15 W
A9-9425 SoC,2 ,3.1 to 3.7 GHz,28 nm,N/A,15 W
Athlon X4 845,4 ,3.5 to 3.8 GHz,28 nm,N/A,65 W
Opteron A1120,4 ,1700 MHz,28 nm,8MB,25 W
Opteron A1150,8 ,1700 MHz,28 nm,8MB,32 W
Opteron A1170,8 ,2000 MHz,28 nm,8MB,32 W
Opteron X2170,4 ,2.4 GHz,28 nm,N/A,25 W
PRO A10-8770,4 ,3.5 to 3.8 GHz,28 nm,N/A,65 W
PRO A10-8770E,4 ,2.8 to 3.5 GHz,28 nm,N/A,35 W
PRO A10-9700E,4 ,3 to 3.5 GHz,28 nm,N/A,35 W
PRO A12-8870,4 ,3.7 to 4.2 GHz,28 nm,N/A,65 W
PRO A12-8870E,4 ,2.9 to 3.7 GHz,28 nm,N/A,35 W
PRO A12-9800,4 ,3.8 to 4.2 GHz,28 nm,N/A,65 W
PRO A6-9500,2 ,3.5 to 3.8 GHz,28 nm,N/A,65 W
PRO A6-9500E,2 ,3 to 3.4 GHz,28 nm,N/A,35 W
PRO A8-9600,4 ,3.1 to 3.4 GHz,28 nm,N/A,65 W
A6-7480,2 ,3.5 to 3.8 GHz,28 nm,N/A,45 W
A8-7680,4 ,3.5 to 3.8 GHz,28 nm,N/A,45 W
Athlon 200GE,2  / 4,3.2 GHz,14 nm,4MB,35 W
Athlon 220GE,2  / 4,3.4 GHz,14 nm,4MB,35 W
Athlon 240GE,2  / 4,3.5 GHz,14 nm,4MB,35 W
Athlon PRO 200GE,2 ,3.2 GHz,14 nm,4MB,35 W
EPYC 7261,8  / 16,2.5 to 2.9 GHz,14 nm,32MB,170 W
EPYC 7371,16  / 32,3.1 to 3.8 GHz,14 nm,64MB,170 W
EPYC Embedded 3251,8  / 16,2.5 to 3.1 GHz,14 nm,16MB,50 W
PRO A6-8570,2 ,3.5 to 3.8 GHz,28 nm,N/A,65 W
PRO A6-8570E,2 ,3 to 3.4 GHz,28 nm,N/A,65 W
Ryzen 3 2200G,4 ,3.5 to 3.7 GHz,14 nm,4MB,65 W
Ryzen 3 2200GE,4 ,3.2 to 3.6 GHz,14 nm,4MB,35 W
Ryzen 3 2200U,2  / 4,2.5 to 3.4 GHz,14 nm,4MB,15 W
Ryzen 3 2300U,4 ,2 to 3.4 GHz,14 nm,4MB,15 W
Ryzen 3 2300X,4 ,3.5 to 4 GHz,12 nm,4MB,65 W
Ryzen 3 PRO 2200GE,4 ,3.2 to 3.6 GHz,14 nm,4MB,35 W
Ryzen 5 2400G,4  / 8,3.6 to 3.9 GHz,14 nm,4MB,65 W
Ryzen 5 2400GE,4  / 8,3.2 to 3.8 GHz,14 nm,4MB,35 W
Ryzen 5 2500X,4  / 8,3.6 to 4 GHz,12 nm,8MB,65 W
Ryzen 5 2600,6  / 12,3.4 to 3.9 GHz,12 nm,16MB,65 W
Ryzen 5 2600E,6  / 12,3.1 to 4 GHz,12 nm,16MB,65 W
Ryzen 5 2600H,4  / 8,3.3 to 3.6 GHz,14 nm,4MB,15 W
Ryzen 5 2600X,6  / 12,3.6 to 4.25 GHz,12 nm,16MB,95 W
Ryzen 5 PRO 2400G,4  / 8,3.6 to 3.9 GHz,14 nm,4MB,65 W
Ryzen 5 PRO 2400GE,4  / 8,3.2 to 3.8 GHz,14 nm,4MB,35 W
Ryzen 5 PRO 2600,6  / 12,3.4 to 3.9 GHz,12 nm,16MB,65 W
Ryzen 7 2700,8  / 16,3.2 to 4.1 GHz,12 nm,16MB,65 W
Ryzen 7 2700E,8  / 16,2.8 to 4 GHz,12 nm,16MB,65 W
Ryzen 7 2700X,8  / 16,3.7 to 4.35 GHz,12 nm,16MB,105 W
Ryzen 7 2800H,4  / 8,3.4 to 3.8 GHz,14 nm,4MB,15 W
Ryzen 7 PRO 2700,8  / 16,3.2 to 4.1 GHz,12 nm,16MB,65 W
Ryzen 7 PRO 2700X,8  / 16,3.6 to 4.1 GHz,12 nm,16MB,95 W
Ryzen Embedded V1202B,2  / 4,2.3 to 3.2 GHz,14 nm,2MB,15 W
Ryzen Embedded V1605B,4  / 8,2 to 3.6 GHz,14 nm,2MB,15 W
Ryzen Embedded V1756B,4  / 8,3.25 to 3.6 GHz,14 nm,2MB,45 W
Ryzen Embedded V1807B,4  / 8,3.35 to 3.8 GHz,14 nm,2MB,45 W
Ryzen Threadripper 2920X,12  / 24,3.5 to 4.3 GHz,12 nm,32MB,180 W
Ryzen Threadripper 2950X,16  / 32,3.5 to 4.4 GHz,12 nm,32MB,180 W
Ryzen Threadripper 2970WX,24  / 48,3 to 4.2 GHz,12 nm,64MB,250 W
Ryzen Threadripper 2990WX,32  / 64,3 to 4.2 GHz,12 nm,64MB,250 W
A10-7870K,4 ,3.9 to 4.1 GHz,28 nm,N/A,95 W
A8-7650K,4 ,3.3 to 3.8 GHz,28 nm,N/A,95 W
A8-7670K,4 ,3.6 to 3.9 GHz,28 nm,N/A,95 W
Athlon X4 830,4 ,3 to 3.4 GHz,28 nm,N/A,65 W
Athlon X4 850,4 ,3.2 to 3.9 GHz,28 nm,N/A,65 W
Athlon X4 870K,4 ,3.9 to 4.1 GHz,28 nm,N/A,95 W
Athlon X4 880K,4 ,4 to 4.2 GHz,28 nm,N/A,95 W
FX-6330,6 ,3.6 to 4.2 GHz,32 nm,8MB,125 W
PRO A10-8750B,4 ,3.6 to 4 GHz,28 nm,N/A,95 W
PRO A10-8850B,4 ,3.9 to 4.1 GHz,28 nm,N/A,95 W
PRO A4-8350B,2 ,3.5 to 3.9 GHz,28 nm,N/A,65 W
PRO A6-8550B,2 ,3.5 to 4 GHz,28 nm,N/A,65 W
PRO A8-8650B,4 ,3.2 to 3.9 GHz,28 nm,N/A,65 W
Celeron G3930,2 ,2.9 GHz,14 nm,2MB,51 W
Celeron G3930T,2 ,2.7 GHz,14 nm,2MB,35 W
Celeron G3950,2 ,3 GHz,14 nm,2MB,51 W
core i3-7100u,2  / 4,2.4 GHz,14 nm,3MB,15 W
Core i3-7100,2  / 4,3.9 GHz,14 nm,3MB,51 W
Core i3-7100T,2  / 4,3.4 GHz,14 nm,3MB,35 W
Core i3-7120,2  / 4,4 GHz,14 nm,3MB,51 W
Core i3-7120T,2  / 4,3.6 GHz,14 nm,3MB,35 W
Core i3-7300,2  / 4,4 GHz,14 nm,4MB,51 W
Core i3-7300T,2  / 4,3.5 GHz,14 nm,4MB,35 W
Core i3-7320,2  / 4,4.1 GHz,14 nm,4MB,51 W
Core i3-7320T,2  / 4,3.6 GHz,14 nm,4MB,35 W
Core i3-7340,2  / 4,4.2 GHz,14 nm,4MB,51 W
Core i3-7350K,2  / 4,4.2 GHz,14 nm,4MB,60 W
Core i3-7360X,2  / 4,4.3 GHz,14 nm,4MB,112 W
Core i3-8100,4 ,2.8 to 3.6 GHz,14 nm,6MB,62 W
Core i3-8350K,4 ,4 GHz,14 nm,8MB,91 W
Core i5-7300HQ,4 ,2.5 to 3.5 GHz,14 nm,6MB,45 W
Core i5-7400,4 ,3 to 3.5 GHz,14 nm,6MB,65 W
Core i5-7400T,4 ,2.4 to 3 GHz,14 nm,6MB,35 W
Core i5-7500,4 ,3.4 to 3.8 GHz,14 nm,6MB,65 W
Core i5-7500T,4 ,2.7 to 3.3 GHz,14 nm,6MB,35 W
Core i5-7600,4 ,3.5 to 4.1 GHz,14 nm,6MB,65 W
Core i5-7600K,4 ,3.8 to 4.2 GHz,14 nm,6MB,91 W
Core i5-7600T,4 ,2.8 to 3.7 GHz,14 nm,6MB,35 W
Core i5-7640X,4 ,3.9 to 4.3 GHz,14 nm,6MB,112 W
Core i5-8250U,4  / 8,1.6 to 3.4 GHz,14 nm,6MB,15 W
Core i5-8350U,4  / 8,1.7 to 3.6 GHz,14 nm,6MB,15 W
Core i5-8400,6 ,2.8 to 4 GHz,14 nm,9MB,65 W
Core i5-8600K,6 ,3.6 to 4.3 GHz,14 nm,9MB,95 W
core i7-7500u,2  / 4,2.7 to 3.5 GHz,14 nm,4MB,15 W
Core i7-7700,4  / 8,3.6 to 4.2 GHz,14 nm,8MB,65 W
Core i7-7700K,4  / 8,4.2 to 4.5 GHz,14 nm,8MB,91 W
Core i7-7700T,4  / 8,2.9 to 3.8 GHz,14 nm,8MB,35 W
core i7-7700hq,4  / 8,2.8 to 3.8 GHz,14 nm,6MB,45 W
Core i7-7740X,4  / 8,4.3 to 4.6 GHz,14 nm,8MB,112 W
Core i7-7800X,6  / 12,3.5 to 4 GHz,14 nm,8.25MB,140 W
Core i7-7820X,8  / 16,3.6 to 4.5 GHz,14 nm,11MB,140 W
Core i7-8550U,4  / 8,1.8 to 4 GHz,14 nm,8MB,15 W
Core i7-8650U,4  / 8,1.9 to 4.2 GHz,14 nm,8MB,15 W
Core i7-8700K,6  / 12,3.7 to 4.7 GHz,14 nm,12MB,95 W
Core i9-7900X,10  / 20,3.3 to 4.5 GHz,14 nm,14MB,140 W
Core i9-7920X,12  / 24,2.9 to 4.4 GHz,14 nm,16.5MB,140 W
Core i9-7940X,14  / 28,3.1 to 4.4 GHz,14 nm,19.25MB,165 W
Core i9-7960X,16  / 32,2.8 to 4.4 GHz,14 nm,22MB,165 W
Core i9-7980XE,18  / 36,2.6 to 4.4 GHz,14 nm,24.75MB,165 W
Pentium G4560,2  / 4,3.5 GHz,14 nm,3MB,51 W
Pentium G4560T,2  / 4,2.9 GHz,14 nm,3MB,35 W
Pentium G4600,2  / 4,3.6 GHz,14 nm,3MB,51 W
Pentium G4600T,2  / 4,3 GHz,14 nm,3MB,35 W
Pentium G4620,2  / 4,3.7 GHz,14 nm,3MB,51 W
Pentium Silver J5005,4 ,1.5 to 2.4 GHz,14 nm,N/A,10 W
Xeon Bronze 3106,8 ,2.1 to 3 GHz,14 nm,11MB,85 W
Xeon E3-1285 v6,4  / 8,4.1 to 4.5 GHz,14 nm,8MB,79 W
Xeon Gold 6154,18  / 36,3 to 3.7 GHz,14 nm,24.75MB,200 W
Xeon Phi 7235,64  / 256,1300 to 1400 MHz,14 nm,N/A,250 W
Xeon Phi 7285,68  / 272,1300 to 1400 MHz,14 nm,N/A,250 W
Xeon Phi 7295,72  / 288,1500 to 1600 MHz,14 nm,N/A,320 W
Xeon Platinum 8180,28  / 56,2.5 to 3.8 GHz,14 nm,38.5MB,205 W
Xeon Platinum 8180M,28  / 56,2.5 to 3.8 GHz,14 nm,38.5MB,205 W
Xeon Silver 4116,12  / 24,2.1 to 3 GHz,14 nm,16.5MB,85 W
Xeon W-2195,18  / 36,2.3 to 4.3 GHz,14 nm,24.75MB,140 W
A6-9120C SoC,2 ,1.6 to 2.4 GHz,28 nm,N/A,6 W
A6-9220C SoC,2 ,1.8 to 2.7 GHz,28 nm,N/A,6 W
A6-9400,2 ,3.4 to 3.7 GHz,28 nm,N/A,65 W
Athlon 3000G,2  / 4,3.5 GHz,14 nm,4MB,35 W
Athlon 300U,2  / 4,2.4 to 3.3 GHz,14 nm,4MB,15 W
Athlon PRO 300U,2  / 4,2.4 to 3.3 GHz,14 nm,4MB,15 W
EPYC 7232P,8  / 16,3.1 to 3.2 GHz,7 nm,32MB,120 W
EPYC 7252,8  / 16,2.8 to 3.2 GHz,7 nm,64MB,120 W
EPYC 7262,8  / 16,3.1 to 3.3 GHz,7 nm,128MB,155 W
EPYC 7272,12  / 24,2.6 to 3.2 GHz,7 nm,64MB,120 W
EPYC 7282,16  / 32,2.8 to 3.2 GHz,7 nm,64MB,120 W
EPYC 7302,16  / 32,3 to 3.3 GHz,7 nm,128MB,155 W
EPYC 7302P,16  / 32,3 to 3.3 GHz,7 nm,128MB,155 W
EPYC 7352,24  / 48,2.4 to 3.3 GHz,7 nm,128MB,155 W
EPYC 7402,24  / 48,2.8 to 3.35 GHz,7 nm,128MB,180 W
EPYC 7402P,24  / 48,2.8 to 3.35 GHz,7 nm,128MB,180 W
EPYC 7452,32  / 64,2.2 to 3.35 GHz,7 nm,128MB,155 W
EPYC 7502,32  / 64,2.5 to 3.35 GHz,7 nm,128MB,180 W
EPYC 7502P,32  / 64,2.5 to 3.35 GHz,7 nm,128MB,180 W
EPYC 7542,32  / 64,2.9 to 3.4 GHz,7 nm,128MB,225 W
EPYC 7552,48  / 96,2.2 to 3.35 GHz,7 nm,192MB,200 W
EPYC 7642,48  / 96,2.4 to 3.4 GHz,7 nm,256MB,225 W
EPYC 7702,64  / 128,2 to 3.35 GHz,7 nm,256MB,200 W
EPYC 7702P,64  / 128,2 to 3.35 GHz,7 nm,256MB,200 W
EPYC 7742,64  / 128,2.25 to 3.4 GHz,7 nm,256MB,225 W
EPYC 7H12,64  / 128,2.6 to 3.3 GHz,7 nm,256MB,280 W
Ryzen 3 3200G,4 ,3.6 to 4 GHz,12 nm,4MB,65 W
Ryzen 3 3200GE,4 ,3.3 to 4 GHz,12 nm,4MB,35 W
Ryzen 3 3200U,2  / 4,2.6 to 3.5 GHz,14 nm,4MB,15 W
Ryzen 3 3300U,4 ,2.1 to 3.5 GHz,12 nm,4MB,15 W
Ryzen 3 PRO 2300U,4 ,2 to 3.4 GHz,14 nm,4MB,15 W
Ryzen 3 PRO 3200GE,4 ,3.3 to 4 GHz,12 nm,4MB,35 W
Ryzen 3 PRO 3300U,4 ,2.1 to 3.5 GHz,12 nm,4MB,15 W
Ryzen 5 1600AF,6  / 12,3.2 to 3.6 GHz,12 nm,16MB,65 W
Ryzen 5 3400G,4  / 8,3.7 to 4.2 GHz,12 nm,4MB,65 W
Ryzen 5 3400GE,4  / 8,3.3 to 4 GHz,12 nm,4MB,35 W
Ryzen 5 3500U,4  / 8,2.1 to 3.7 GHz,12 nm,4MB,15 W
Ryzen 5 3500X,6 ,3.6 to 4.1 GHz,7 nm,32MB,65 W
Ryzen 5 3550H,4  / 8,2.1 to 3.7 GHz,12 nm,4MB,35 W
Ryzen 5 3580U,4  / 8,2.1 to 3.7 GHz,12 nm,4MB,15 W
Ryzen 5 3600,6  / 12,3.6 to 4.2 GHz,7 nm,32MB,65 W
Ryzen 5 3600X,6  / 12,3.8 to 4.4 GHz,7 nm,32MB,95 W
Ryzen 5 3600XT,6  / 12,3.8 to 4.5 GHz,7 nm,32MB,95 W
Ryzen 5 PRO 2500U,4  / 8,2 to 3.6 GHz,14 nm,4MB,15 W
Ryzen 5 PRO 3400GE,4  / 8,3.3 to 4 GHz,12 nm,4MB,35 W
Ryzen 5 PRO 3500U,4  / 8,2.1 to 3.7 GHz,12 nm,4MB,15 W
Ryzen 7 2700X 50th Anniversary,8  / 16,3.7 to 4.35 GHz,12 nm,16MB,105 W
Ryzen 7 3700U,4  / 8,2.3 to 4 GHz,12 nm,4MB,15 W
Ryzen 7 3700X,8  / 16,3.6 to 4.4 GHz,7 nm,32MB,65 W
Ryzen 7 3750H,4  / 8,2.3 to 4 GHz,12 nm,4MB,35 W
Ryzen 7 3780U,4  / 8,2.3 to 4 GHz,12 nm,4MB,15 W
Ryzen 7 3800X,8  / 16,3.9 to 4.5 GHz,7 nm,32MB,105 W
Ryzen 7 PRO 3700U,4  / 8,2.3 to 4 GHz,12 nm,4MB,15 W
Ryzen 9 3900X,12  / 24,3.8 to 4.6 GHz,7 nm,64MB,105 W
Ryzen 9 3950X,16  / 32,3.5 to 4.7 GHz,7 nm,64MB,105 W
Ryzen Threadripper 3960X,24  / 48,3.8 to 4.5 GHz,7 nm,128MB,280 W
Ryzen Threadripper 3970X,32  / 64,3.7 to 4.5 GHz,7 nm,128MB,280 W
Celeron G5900,2 ,3.4 GHz,14 nm,2MB,58 W
Celeron G5920,2 ,3.5 GHz,14 nm,2MB,58 W
Core i3-10100,4  / 8,3.6 to 4.3 GHz,14 nm,6MB,65 W
Core i3-10300,4  / 8,3.7 to 4.4 GHz,14 nm,8MB,62 W
Core i3-10320,4  / 8,3.8 to 4.6 GHz,14 nm,8MB,91 W
A10-9700,4 ,3.5 to 3.8 GHz,28 nm,N/A,65 W
A10-9700E,4 ,3 to 3.5 GHz,28 nm,N/A,35 W
A12-9800,4 ,3.8 to 4.2 GHz,28 nm,N/A,65 W
A12-9800E,4 ,3.1 to 3.8 GHz,28 nm,N/A,35 W
A6-9550,2 ,3.8 to 4 GHz,28 nm,N/A,65 W
A8-9600,4 ,3.1 to 3.4 GHz,28 nm,N/A,65 W
Athlon X4 940,4 ,3.2 to 3.6 GHz,28 nm,N/A,65 W
Athlon X4 950,4 ,3.5 to 3.8 GHz,28 nm,N/A,65 W
Athlon X4 970,4 ,3.8 to 4 GHz,28 nm,N/A,65 W
EPYC 7251,8  / 16,2.1 to 2.9 GHz,14 nm,32MB,120 W
EPYC 7281,16  / 32,2.1 to 2.7 GHz,14 nm,32MB,170 W
Core i3-10350K,4  / 8,4.1 to 4.8 GHz,14 nm,8MB,91 W
Core i3-1110G4,2  / 4,1.8 to 3.9 GHz,10 nm,6MB,15 W
Core i3-1115G4,2  / 4,3 to 4.1 GHz,10 nm,6MB,28 W
Core i3-1120G4,4  / 8,1.1 to 3.5 GHz,10 nm,8MB,15 W
Core i3-1125G4,4  / 8,2 to 3.7 GHz,10 nm,8MB,28 W
Core i5-10200H,4  / 8,2.4 to 4.1 GHz,14 nm,6MB,45 W
Core i5-10300H,4  / 8,2.5 to 4.5 GHz,14 nm,6MB,45 W
Core i5-1038NG7,4  / 8,2 to 3.8 GHz,10 nm,6MB,28 W
Core i5-10400,6  / 12,2.9 to 4.3 GHz,14 nm,12MB,65 W
Core i5-10400F,6  / 12,2.9 to 4.3 GHz,14 nm,12MB,65 W
Core i5-10400H,4  / 8,2.6 to 4.6 GHz,14 nm,6MB,45 W
Core i5-10500,6  / 12,3.1 to 4.5 GHz,14 nm,12MB,65 W
Core i5-10600,6  / 12,3.3 to 4.8 GHz,14 nm,12MB,65 W
Core i5-10600K,6  / 12,4.1 to 4.8 GHz,14 nm,12MB,125 W
EPYC 7301,16  / 32,2.2 to 2.7 GHz,14 nm,64MB,170 W
EPYC 7351,16  / 32,2.4 to 2.9 GHz,14 nm,64MB,170 W
EPYC 7351P,16  / 32,2.4 to 2.9 GHz,14 nm,64MB,170 W
EPYC 7401,24  / 48,2 to 3 GHz,14 nm,64MB,170 W
EPYC 7401P,24  / 48,2 to 3 GHz,14 nm,64MB,170 W
EPYC 7451,24  / 48,2.3 to 3.2 GHz,14 nm,64MB,180 W
EPYC 7501,32  / 64,2 to 3 GHz,14 nm,64MB,170 W
EPYC 7551,32  / 64,2 to 3 GHz,14 nm,64MB,180 W
EPYC 7551P,32  / 64,2 to 3 GHz,14 nm,64MB,180 W
EPYC 7601,32  / 64,2.2 to 3.2 GHz,14 nm,64MB,180 W
PRO A10-9700,4 ,3.5 to 3.8 GHz,28 nm,N/A,65 W
PRO A12-9800E,4 ,3.1 to 3.8 GHz,28 nm,N/A,35 W
Ryzen 3 1200,4 ,3.1 to 3.4 GHz,14 nm,8MB,65 W
Ryzen 3 1300,4 ,3.2 to 3.5 GHz,14 nm,8MB,65 W
Ryzen 3 1300X,4 ,3.4 to 3.7 GHz,14 nm,8MB,65 W
Ryzen 3 PRO 1200,4 ,3.1 to 3.4 GHz,14 nm,8MB,65 W
Core i5-10600KF,6  / 12,4.1 to 4.8 GHz,14 nm,12MB,95 W
Core i5-1130G7,4  / 8,1.1 to 4 GHz,10 nm,8MB,15 W
Core i5-1135G7,4  / 8,2.4 to 4.2 GHz,10 nm,8MB,28 W
Core i5-1145G7,4  / 8,2.6 to 4.4 GHz,10 nm,8MB,28 W
Core i7-10610U,4  / 8,1.8 to 4.9 GHz,14 nm,8MB,25 W
Core i7-10700,8  / 16,2.9 to 4.8 GHz,14 nm,16MB,65 W
Core i7-10700F,8  / 16,2.9 to 4.8 GHz,14 nm,16MB,65 W
Core i7-10700K,8  / 16,3.8 to 5.1 GHz,14 nm,16MB,125 W
Core i7-10700KF,8  / 16,3.8 to 5.1 GHz,14 nm,16MB,125 W
Core i7-10750H,6  / 12,2.6 to 5 GHz,14 nm,12MB,45 W
Core i7-10810U,6  / 12,1.1 to 4.9 GHz,14 nm,12MB,25 W
Core i7-10850H,6  / 12,2.7 to 5.1 GHz,14 nm,12MB,45 W
Core i7-10870H,8  / 16,2.2 to 5 GHz,14 nm,16MB,45 W
Core i7-10875H,8  / 16,2.1 to 5.1 GHz,14 nm,16MB,45 W
Core i7-1160G7,4  / 8,1.2 to 4.4 GHz,10 nm,12MB,15 W
Core i7-1165G7,4  / 8,2.8 to 4.7 GHz,10 nm,12MB,28 W
Core i7-1185G7,4  / 8,3 to 4.8 GHz,10 nm,12MB,28 W
Ryzen 3 PRO 1300,4 ,3.5 to 3.7 GHz,14 nm,8MB,65 W
Ryzen 5 1400,4  / 8,3.2 to 3.4 GHz,14 nm,8MB,65 W
Ryzen 5 1500X,4  / 8,3.5 to 3.7 GHz,14 nm,16MB,65 W
Ryzen 5 1600,6  / 12,3.2 to 3.6 GHz,14 nm,16MB,65 W
Ryzen 5 1600X,6  / 12,3.6 to 4 GHz,14 nm,16MB,95 W
Ryzen 5 2500U,4  / 8,2 to 3.6 GHz,14 nm,4MB,15 W
Ryzen 5 PRO 1500,4  / 8,3.5 to 3.7 GHz,14 nm,16MB,65 W
Ryzen 5 PRO 1600,6  / 12,3.2 to 3.6 GHz,14 nm,16MB,65 W
Ryzen 7 1700,8  / 16,3 to 3.7 GHz,14 nm,16MB,65 W
Ryzen 7 1700X,8  / 16,3.4 to 3.8 GHz,14 nm,16MB,95 W
Ryzen 7 1800X,8  / 16,3.6 to 4 GHz,14 nm,16MB,95 W
Ryzen 7 2700U,4  / 8,2.2 to 3.8 GHz,14 nm,4MB,15 W
Ryzen 7 PRO 1700,8  / 16,3 to 3.7 GHz,14 nm,16MB,65 W
Ryzen 7 PRO 1700X,8  / 16,3.4 to 3.8 GHz,14 nm,16MB,95 W
Ryzen 7 PRO 2700U,4  / 8,2.2 to 3.8 GHz,14 nm,4MB,15 W
Ryzen Threadripper 1900,8  / 16,3.1 to 3.7 GHz,14 nm,32MB,125 W
Core i9-10800F,10  / 20,2.7 to 5 GHz,14 nm,20MB,65 W
Core i9-10850K,10  / 20,3.6 to 5.2 GHz,14 nm,20MB,125 W
Core i9-10885H,8  / 16,2.4 to 5.3 GHz,14 nm,16MB,45 W
Core i9-10900,10  / 20,2.8 to 5.2 GHz,14 nm,20MB,65 W
Core i9-10900F,10  / 20,2.8 to 5.2 GHz,14 nm,20MB,65 W
Core i9-10900K,10  / 20,3.7 to 5.3 GHz,14 nm,20MB,125 W
Core i9-10900KF,10  / 20,3.7 to 5.3 GHz,14 nm,20MB,125 W
Core i9-10980HK,8  / 16,2.4 to 5.3 GHz,14 nm,16MB,45 W
Core i9-10990XE,22  / 44,4 to 5 GHz,14 nm,30.25MB,380 W
Pentium Gold G6400,2  / 4,4 GHz,14 nm,4MB,58 W
Pentium Gold G6500,2  / 4,4.1 GHz,14 nm,4MB,58 W
Pentium Gold G6600,2  / 4,4.2 GHz,14 nm,4MB,58 W
Xeon W-1290,10  / 20,3.2 to 5.2 GHz,14 nm,20MB,80 W
Xeon W-1290P,10  / 20,3.7 to 5.3 GHz,10 nm,20MB,125 W
Ryzen Threadripper 1900X,8  / 16,3.8 to 4 GHz,14 nm,32MB,180 W
Ryzen Threadripper 1920,12  / 24,3.2 to 3.8 GHz,14 nm,32MB,140 W
